[100,420835]
[1546,5438]
[1549,9535]
[1551,2638]
[1583,8869]
[1585,3366]
[1589,2990]
[1593,2356]
[1606,3530]
[1607,2147]
[1614,2347]
[1619,2658]
[1635,2994]
[1640,4883]
[1644,3813]
[1658,2563]
[1662,2724]
[1665,38318]
[1674,3450]
[1677,12975]
[1691,3030]
[1697,2921]
[1698,2341]
[1699,34323]
[1700,3888]
[1715,2467]
[1733,4612]
[1750,6813]
[1754,14092]
[1756,3071]
[1796,2612]
[1799,3651]
[1813,13819]
[1820,9270]
[1822,3953]
[1831,7282]
[1835,3640]
[1838,7904]
[1847,4965]
[1848,6602]
[1850,3035]
[1852,2648]
[1854,30592]
[1855,3884]
[1858,7448]
[1868,3230]
[1878,2905]
[1881,6816]
[1885,2318]
[1886,5195]
[1887,16476]
[1889,3051]
[1890,2675]
[1897,2358]
[1903,9397]
[1909,4146]
[1911,2211]
[1912,2276]
[1928,5744]
[1935,5081]
[1938,3812]
[1941,2562]
[1942,2101]
[1946,3634]
[1953,3840]
[1955,9499]
[1967,2009]
[1989,3531]
[1991,2112]
[2014,2327]
[2022,195749]
[2025,16711]
[2026,4158]
[2030,2048]
[2049,8476]
[2050,8151]
[2060,10005]
[2069,2451]
[2075,2606]
[2089,3402]
[2094,8423]
[2095,4048]
[2104,3324]
[2111,7309]
[2118,6600]
[2122,5634]
[2136,2278]
[2150,3523]
[2152,4393]
[2154,2198]
[2157,3774]
[2169,5196]
[2188,2088]
[2220,2670]
[2226,2772]
[2236,6332]
[2249,2128]
[2255,15321]
[2257,2406]
[2266,2056]
[2277,2124]
[2279,5171]
[2300,6084]
[2306,3866]
[2308,2602]
[2310,3825]
[2311,6226]
[2322,5836]
[2324,2819]
[2348,3796]
[2358,2040]
[2389,8911]
[2395,40120]
[2419,2107]
[2444,4209]
[2448,2860]
[2456,26459]
[2466,6282]
[2474,3561]
[2477,4115]
[2487,3045]
[2498,18138]
[2527,3392]
[2568,10270]
[2585,4643]
[2591,10499]
[2593,2157]
[2600,2175]
[2601,8284]
[2617,9068]
[2641,2405]
[2646,2029]
[2665,4237]
[2675,5647]
[2677,29715]
[2685,5298]
[2709,3035]
[2717,3578]
[2742,11235]
[2744,2558]
[2745,3248]
[2755,19149]
[2761,2681]
[2774,2195]
[2787,4914]
[2793,2823]
[2797,13974]
[2804,3272]
[2813,2166]
[2822,2005]
[2836,2749]
[2847,3112]
[2854,10356]
[2870,2613]
[2871,2082]
[2876,3260]
[2885,13862]
[2896,11025]
[2899,95483]
[2922,26510]
[2943,22081]
[2958,2110]
[2962,22272]
[2967,8175]
[2975,2552]
[3001,7393]
[3005,2800]
[3006,20753]
[3027,6150]
[3054,3667]
[3071,3076]
[3086,4462]
[3096,2186]
[3108,3699]
[3114,2415]
[3116,3022]
[3120,3278]
[3140,3147]
[3148,4865]
[3163,2099]
[3164,3368]
[3172,2229]
[3181,2689]
[3185,2678]
[3186,17091]
[3187,2595]
[3209,3418]
[3217,9840]
[3226,7299]
[3231,2151]
[3234,6626]
[3257,2976]
[3266,2196]
[3268,6466]
[3282,7553]
[3308,2085]
[3316,8111]
[3338,2269]
[3351,4347]
[3357,2496]
[3366,42012]
[3368,2019]
[3374,4136]
[3377,4378]
[3385,2241]
[3396,4308]
[3414,3221]
[3420,196629]
[3422,4666]
[3436,3548]
[3461,8222]
[3479,2648]
[3484,2018]
[3489,5119]
[3520,5262]
[3526,2637]
[3550,3524]
[3573,4443]
[3596,2095]
[3612,2946]
[3618,2420]
[3653,2513]
[3656,4147]
[3657,8151]
[3658,5714]
[3678,2793]
[3696,3282]
[3698,2207]
[3718,4701]
[3719,12400]
[3724,2513]
[3727,2091]
[3728,2167]
[3743,3826]
[3746,3775]
[3756,13846]
[3767,7522]
[3773,4955]
[3778,2885]
[3794,2147]
[3796,2271]
[3809,2741]
[3819,4254]
[3840,5542]
[3841,3665]
[3847,2464]
[3881,8571]
[3894,3851]
[3899,4363]
[3903,7098]
[3944,4414]
[3956,16774]
[3973,2807]
[4039,4325]
[4040,9418]
[4041,175006]
[4043,2335]
[4047,4205]
[4085,5631]
[4106,8773]
[4149,8184]
[4156,2598]
[4158,2370]
[4180,2267]
[4185,8736]
[4227,2439]
[4253,2188]
[4289,4046]
[4294,9120]
[4296,5621]
[4338,2278]
[4346,2338]
[4364,3169]
[4420,2916]
[4423,2573]
[4439,4039]
[4445,3470]
[4451,27788]
[4455,26578]
[4463,2061]
[4476,3790]
[4492,4823]
[4534,2647]
[4562,2116]
[4566,5246]
[4577,4134]
[4602,6761]
[4605,6704]
[4609,4302]
[4614,6737]
[4617,73690]
[4620,5133]
[4643,5236]
[4647,2571]
[4657,6254]
[4662,2554]
[4674,2314]
[4688,2218]
[4690,2621]
[4693,3736]
[4703,2782]
[4710,8945]
[4731,81468]
[4734,3222]
[4755,12892]
[4776,6446]
[4777,2252]
[4802,3635]
[4817,9352]
[4841,2601]
[4864,2809]
[4886,2431]
[4913,5186]
[4916,2126]
[4934,12803]
[5003,4080]
[5032,2312]
[5049,2083]
[5057,2063]
[5124,7754]
[5132,15561]
[5170,6855]
[5182,4570]
[5211,2449]
[5233,2068]
[5234,3167]
[5235,2772]
[5280,7087]
[5294,2640]
[5295,2400]
[5297,3358]
[5379,3929]
[5389,2136]
[5394,22518]
[5411,3047]
[5449,2532]
[5455,2489]
[5538,5855]
[5551,5947]
[5552,8680]
[5572,2265]
[5575,2642]
[5595,19241]
[5608,16940]
[5615,4411]
[5622,2535]
[5645,2400]
[5647,10576]
[5650,8860]
[5665,40463]
[5668,2841]
[5680,2631]
[5690,9293]
[5814,2805]
[5838,12418]
[5849,2857]
[5859,3739]
[5872,7312]
[5876,4707]
[5880,2407]
[5892,3700]
[5898,2253]
[5922,3432]
[5989,3109]
[6010,2180]
[6011,2595]
[6058,2967]
[6087,4012]
[6111,5615]
[6135,26665]
[6141,7493]
[6154,4433]
[6174,4062]
[6181,66857]
[6203,4285]
[6207,2198]
[6229,2654]
[6240,3212]
[6265,4902]
[6323,13662]
[6333,14759]
[6334,2259]
[6340,6680]
[6372,4309]
[6380,36632]
[6383,17859]
[6413,4871]
[6489,7081]
[6492,602123]
[6523,2220]
[6557,56804]
[6559,2086]
[6564,11658]
[6579,2239]
[6596,4130]
[6604,23747]
[6619,2126]
[6622,3340]
[6674,9676]
[6683,2045]
[6689,2340]
[6708,12687]
[6775,2062]
[6797,4962]
[6824,8484]
[6872,2533]
[6874,9357]
[6881,2545]
[6893,3333]
[6894,5491]
[6896,2767]
[6921,10562]
[6958,2357]
[6992,3904]
[6994,2511]
[7010,2062]
[7025,6070]
[7038,5891]
[7047,2025]
[7049,44012]
[7050,3490]
[7055,19934]
[7060,2985]
[7070,2398]
[7099,3794]
[7126,5437]
[7133,2187]
[7144,2716]
[7158,2398]
[7172,3564]
[7179,17079]
[7188,17761]
[7226,2317]
[7233,2623]
[7297,3567]
[7305,6903]
[7309,2825]
[7315,2840]
[7391,17394]
[7401,3342]
[7418,2828]
[7420,2251]
[7423,2829]
[7427,4581]
[7434,4608]
[7441,2580]
[7443,2372]
[7450,2620]
[7451,2138]
[7461,2715]
[7487,6286]
[7488,16173]
[7492,5745]
[7501,5992]
[7525,4585]
[7575,3692]
[7589,2330]
[7598,3349]
[7607,2504]
[7633,4512]
[7634,3607]
[7639,2924]
[7640,9011]
[7645,2035]
[7668,10235]
[7678,4697]
[7704,7542]
[7710,2207]
[7725,3082]
[7841,2660]
[7847,4091]
[7855,3060]
[7860,5675]
[7887,2956]
[7897,4791]
[7904,3359]
[7978,2386]
[7982,103367]
[8002,2892]
[8006,188068]
[8055,7459]
[8070,4731]
[8083,3684]
[8088,7700]
[8102,2098]
[8157,5334]
[8158,20207]
[8159,6623]
[8168,5405]
[8266,4750]
[8269,3081]
[8281,2047]
[8298,2957]
[8303,10107]
[8305,2949]
[8334,2501]
[8377,6139]
[8386,2739]
[8390,5277]
[8431,2150]
[8437,6475]
[8456,3512]
[8459,2740]
[8478,6622]
[8487,8918]
[8489,3436]
[8542,6907]
[8586,4096]
[8597,4639]
[8622,4284]
[8636,2126]
[8661,21538]
[8670,2267]
[8671,2667]
[8716,3768]
[8717,2313]
[8718,3723]
[8736,28369]
[8752,27339]
[8774,2314]
[8777,6361]
[8825,2230]
[8860,4301]
[8861,2801]
[8868,6001]
[8883,2009]
[8894,3119]
[8899,2136]
[8942,2493]
[8944,2351]
[8958,3946]
[8978,15094]
[9105,2435]
[9127,49849]
[9149,2606]
[9150,4075]
[9200,9969]
[9203,2253]
[9213,3704]
[9246,6543]
[9313,3609]
[9338,2234]
[9360,2503]
[9367,4769]
[9405,5085]
[9412,2371]
[9425,29303]
[9444,32764]
[9447,112054]
[9459,7099]
[9470,2124]
[9477,89075]
[9478,8310]
[9484,2356]
[9488,5350]
[9496,7040]
[9536,15355]
[9542,2431]
[9569,4702]
[9570,2450]
[9571,3889]
[9583,4701]
[9610,4921]
[9612,2977]
[9618,2102]
[9635,2275]
[9638,3125]
[9683,2658]
[9690,2012]
[9699,4887]
[9705,2259]
[9709,2756]
[9720,2579]
[9723,12315]
[9731,2699]
[9781,103307]
[9788,2006]
[9820,2241]
[9895,2493]
[9900,3641]
[9947,2521]
[9951,5388]
[9954,39579]
[9972,2694]
[9993,2607]
[10010,2133]
[10023,3212]
[10059,2281]
[10071,2315]
[10079,12194]
[10098,18171]
[10112,2104]
[10174,3365]
[10185,2416]
[10192,20024]
[10205,2938]
[10215,3249]
[10245,3461]
[10351,2128]
[10356,15963]
[10361,2139]
[10362,2164]
[10375,11156]
[10376,2713]
[10429,2129]
[10439,3192]
[10452,6055]
[10456,8680]
[10467,2054]
[10496,4989]
[10517,2713]
[10518,3233]
[10532,5793]
[10580,2111]
[10606,8647]
[10625,4666]
[10691,3792]
[10705,5714]
[10720,2317]
[10758,3120]
[10766,10141]
[10801,2736]
[10826,2516]
[10836,2694]
[10846,4699]
[10847,4211]
[10885,2756]
[10919,2448]
[10920,2035]
[10972,2014]
[11012,2993]
[11014,2121]
[11042,2438]
[11064,6527]
[11075,9213]
[11078,4315]
[11107,39849]
[11115,6155]
[11118,3056]
[11172,2098]
[11187,4222]
[11191,3290]
[11217,2212]
[11243,4385]
[11276,3204]
[11288,3327]
[11302,3170]
[11303,14581]
[11316,16085]
[11397,6643]
[11414,2492]
[11483,3594]
[11494,2155]
[11528,2229]
[11554,3448]
[11599,2467]
[11618,2047]
[11672,12221]
[11697,3592]
[11730,2472]
[11756,2618]
[11783,3103]
[11784,10883]
[11730,2472]
[11756,2618]
[11783,3103]
[11784,10883]
[11813,4053]
[11842,7150]
[11870,4336]
[11813,4053]
[11842,7150]
[11870,4336]
[11925,3023]
[11942,2246]
[11946,2276]
[11957,9020]
[11964,2026]
[11969,2844]
[11979,3417]
[11925,3023]
[11942,2246]
[11946,2276]
[11957,9020]
[11964,2026]
[11969,2844]
[11979,3417]
[12026,4159]
[12030,3907]
[12043,6793]
[12077,2162]
[12026,4159]
[12030,3907]
[12043,6793]
[12077,2162]
[12111,2238]
[12133,4332]
[12154,3342]
[12173,6161]
[12111,2238]
[12133,4332]
[12154,3342]
[12173,6161]
[12233,4025]
[12233,4025]
[12319,2129]
[12332,3362]
[12337,3976]
[12345,3975]
[12353,2838]
[12372,3368]
[12394,23323]
[12395,4306]
[12319,2129]
[12332,3362]
[12337,3976]
[12345,3975]
[12353,2838]
[12372,3368]
[12394,23323]
[12395,4306]
[12408,5930]
[12449,2157]
[12462,2334]
[12408,5930]
[12449,2157]
[12462,2334]
[12545,2153]
[12597,2328]
[12545,2153]
[12597,2328]
[12631,4861]
[12639,3496]
[12644,2283]
[12631,4861]
[12639,3496]
[12644,2283]
[12714,8172]
[12748,10757]
[12793,2067]
[12714,8172]
[12748,10757]
[12793,2067]
[12860,3286]
[12868,2028]
[12860,3286]
[12868,2028]
[12902,2661]
[12915,6372]
[12971,2296]
[12902,2661]
[12915,6372]
[12971,2296]
[13033,5964]
[13048,7445]
[13058,42072]
[13033,5964]
[13048,7445]
[13058,42072]
[13116,7120]
[13140,4494]
[13116,7120]
[13140,4494]
[13279,2397]
[13279,2397]
[13311,3867]
[13324,2574]
[13331,6483]
[13337,27866]
[13357,3007]
[13375,5339]
[13311,3867]
[13324,2574]
[13331,6483]
[13337,27866]
[13357,3007]
[13375,5339]
[13401,4364]
[13416,2345]
[13429,4632]
[13430,2953]
[13447,3390]
[13484,3244]
[13492,2962]
[13401,4364]
[13416,2345]
[13429,4632]
[13430,2953]
[13447,3390]
[13484,3244]
[13492,2962]
[13511,7396]
[13511,7396]
[13669,5956]
[13669,5956]
[13709,2411]
[13709,2411]
[13827,2902]
[13827,2902]
[13923,2643]
[13934,3089]
[13958,4511]
[13976,2034]
[13923,2643]
[13934,3089]
[13958,4511]
[13976,2034]
[14008,3330]
[14021,2788]
[14088,3180]
[14129,2722]
[14148,2859]
[14163,7096]
[14185,31208]
[14008,3330]
[14021,2788]
[14088,3180]
[14370,3143]
[14383,3234]
[14129,2722]
[14148,2859]
[14163,7096]
[14185,31208]
[14428,2074]
[14429,7742]
[14461,62910]
[14472,2568]
[14518,2010]
[14531,3709]
[14543,2100]
[14582,3119]
[14586,2259]
[14370,3143]
[14383,3234]
[14607,6142]
[14652,2865]
[14666,23113]
[14428,2074]
[14429,7742]
[14461,62910]
[14472,2568]
[14739,2339]
[14751,4314]
[14781,3472]
[14518,2010]
[14531,3709]
[14543,2100]
[14582,3119]
[14586,2259]
[14876,2332]
[14607,6142]
[14652,2865]
[14666,23113]
[14901,3358]
[14903,2890]
[14910,7886]
[14739,2339]
[14751,4314]
[14781,3472]
[15064,3836]
[15077,7921]
[14876,2332]
[15113,3618]
[15127,2585]
[15140,2336]
[15113,3618]
[15127,2585]
[15140,2336]
[15214,12545]
[15221,19871]
[15252,4686]
[15273,15926]
[15275,2237]
[15302,2791]
[15336,3409]
[15373,2087]
[15386,5638]
[15463,3292]
[15478,34557]
[15515,6672]
[15544,2684]
[15579,4611]
[15583,8960]
[15594,14882]
[15603,4999]
[15609,2268]
[15644,3698]
[15647,4322]
[15696,5091]
[15700,2292]
[15719,2059]
[15724,2415]
[15776,3299]
[15214,12545]
[15221,19871]
[15252,4686]
[15273,15926]
[15275,2237]
[15905,2511]
[15922,13723]
[15925,2009]
[15944,2306]
[15957,2345]
[15984,2012]
[15989,2088]
[15302,2791]
[15336,3409]
[15373,2087]
[15386,5638]
[16002,2339]
[16015,3511]
[16017,4444]
[16059,4491]
[15463,3292]
[15478,34557]
[16115,3135]
[16124,21331]
[16125,2266]
[16179,108753]
[16186,2468]
[15515,6672]
[15544,2684]
[15579,4611]
[15583,8960]
[15594,14882]
[16253,7410]
[16278,2571]
[15603,4999]
[15609,2268]
[15644,3698]
[15647,4322]
[15696,5091]
[16344,3441]
[15700,2292]
[15719,2059]
[15724,2415]
[15776,3299]
[16469,5941]
[16490,4941]
[16513,2899]
[16552,29159]
[16566,2223]
[16572,2052]
[16596,2307]
[15905,2511]
[15922,13723]
[15925,2009]
[15944,2306]
[15957,2345]
[15984,2012]
[15989,2088]
[16614,56002]
[16616,2740]
[16634,3573]
[16665,2492]
[16680,3531]
[16685,2185]
[16002,2339]
[16015,3511]
[16017,4444]
[16059,4491]
[16766,9218]
[16799,2606]
[16115,3135]
[16124,21331]
[16125,2266]
[16179,108753]
[16186,2468]
[16811,8144]
[16833,3531]
[16811,8144]
[16833,3531]
[16964,7340]
[16990,3093]
[16996,3068]
[16964,7340]
[16990,3093]
[16996,3068]
[17004,5411]
[17023,2641]
[17077,4503]
[17087,3016]
[17004,5411]
[17023,2641]
[17077,4503]
[17087,3016]
[17113,2707]
[17125,2211]
[17163,3798]
[17187,2120]
[17113,2707]
[17125,2211]
[17163,3798]
[17187,2120]
[17270,2511]
[17270,2511]
[17306,9145]
[17315,3553]
[17319,2258]
[17332,2790]
[17338,3874]
[17346,2493]
[17306,9145]
[17315,3553]
[17319,2258]
[17332,2790]
[17338,3874]
[17346,2493]
[17405,2038]
[17458,4419]
[17405,2038]
[17458,4419]
[17536,2557]
[17583,3448]
[17536,2557]
[17583,3448]
[17666,9829]
[17675,3761]
[17680,5060]
[17666,9829]
[17675,3761]
[17680,5060]
[17748,3579]
[17751,5232]
[17748,3579]
[17751,5232]
[17800,2468]
[17800,2468]
[17923,10715]
[17925,3731]
[17979,4653]
[17990,2052]
[17923,10715]
[17925,3731]
[17979,4653]
[17990,2052]
[18070,2324]
[18086,3118]
[18070,2324]
[18086,3118]
[18100,2059]
[18112,56784]
[18120,2479]
[18122,2668]
[18142,3433]
[18172,2579]
[18178,7195]
[18181,9771]
[18100,2059]
[18112,56784]
[18120,2479]
[18122,2668]
[18142,3433]
[18172,2579]
[18178,7195]
[18181,9771]
[18257,2900]
[18275,7768]
[18257,2900]
[18275,7768]
[18423,3648]
[18437,2855]
[18442,5819]
[18448,2751]
[18423,3648]
[18437,2855]
[18442,5819]
[18448,2751]
[18521,2534]
[18534,2011]
[18521,2534]
[18579,3322]
[18534,2011]
[18579,3322]
[18638,4936]
[18640,8637]
[18661,3145]
[18670,2281]
[18690,40198]
[18638,4936]
[18640,8637]
[18661,3145]
[18670,2281]
[18690,40198]
[18718,5490]
[18726,2247]
[18744,4042]
[18749,3284]
[18757,2230]
[18773,4462]
[18718,5490]
[18726,2247]
[18744,4042]
[18749,3284]
[18757,2230]
[18773,4462]
[18812,7653]
[18839,4705]
[18812,7653]
[18839,4705]
[18932,4470]
[18944,2416]
[18978,2047]
[18995,2216]
[18932,4470]
[18944,2416]
[18978,2047]
[18995,2216]
[19057,2032]
[19089,6239]
[19057,2032]
[19089,6239]
[19106,4531]
[19106,4531]
[19118,13015]
[19118,13015]
[19143,2782]
[19163,5665]
[19182,2219]
[19183,2333]
[19191,2694]
[19199,2092]
[19143,2782]
[19163,5665]
[19182,2219]
[19183,2333]
[19191,2694]
[19199,2092]
[19206,3495]
[19206,3495]
[19306,2118]
[19311,3321]
[19360,3458]
[19375,2749]
[19306,2118]
[19311,3321]
[19360,3458]
[19375,2749]
[19433,2375]
[19451,2472]
[19466,4517]
[19472,4860]
[19306,2118]
[19311,3321]
[19360,3458]
[19375,2749]
[19527,3262]
[19433,2375]
[19451,2472]
[19466,4517]
[19472,4860]
[19604,4649]
[19638,34647]
[19682,2772]
[19527,3262]
[19745,3677]
[19791,2544]
[19798,8564]
[19604,4649]
[19638,34647]
[19682,2772]
[19863,15476]
[19870,6719]
[19745,3677]
[19791,2544]
[19798,8564]
[19935,4480]
[19945,2095]
[19952,4121]
[19935,4480]
[19945,2095]
[19952,4121]
[20026,3417]
[20029,2119]
[20052,8270]
[20072,5680]
[20075,11766]
[20083,3273]
[20090,3707]
[20026,3417]
[20029,2119]
[20052,8270]
[20072,5680]
[20075,11766]
[20083,3273]
[20090,3707]
[20124,3265]
[20150,2246]
[20220,2277]
[20248,2682]
[20302,3161]
[20304,5658]
[20397,8075]
[20451,2960]
[20452,3332]
[20493,2214]
[20574,2049]
[20579,2941]
[20610,10588]
[20642,4892]
[20657,2455]
[20660,9662]
[20673,2914]
[20767,10726]
[20796,2125]
[20802,2550]
[20830,2327]
[21034,3492]
[21084,23056]
[21095,2259]
[21131,2095]
[21155,10913]
[21175,2638]
[21217,5339]
[21271,3629]
[21217,5339]
[21271,3629]
[21307,2278]
[21339,3078]
[21395,3236]
[21436,5254]
[21490,3389]
[21494,3120]
[21513,2082]
[21757,2245]
[21927,2876]
[21965,2900]
[21980,9164]
[21984,5148]
[22043,2249]
[22140,4348]
[22204,3103]
[22260,8141]
[22266,3521]
[22299,2957]
[22322,3129]
[22346,2154]
[22355,2967]
[22361,2057]
[22384,8116]
[22406,2312]
[22471,2852]
[22588,2842]
[22666,8360]
[22683,3481]
[22726,3259]
[22727,3112]
[22763,2942]
[22766,8627]
[22987,5448]
[22997,2223]
[23026,10957]
[23102,2029]
[23141,3297]
[23182,2696]
[23208,2183]
[23260,3268]
[23282,2243]
[23333,2125]
[23354,2193]
[23363,4538]
[23403,2273]
[23435,3027]
[23482,2278]
[23525,4220]
[23557,2364]
[23570,11517]
[23619,2024]
[23650,2445]
[23810,28019]
[23818,11179]
[23841,13057]
[23888,4526]
[23911,4536]
[23919,2374]
[23949,2349]
[23968,2543]
[24011,4716]
[24083,3246]
[24091,8865]
[24109,15768]
[24119,2881]
[24171,8204]
[24174,4436]
[24203,5605]
[24205,4401]
[24212,5930]
[24227,2355]
[24327,6368]
[24433,4093]
[24483,2750]
[24524,7923]
[24584,2637]
[24595,2172]
[24618,3273]
[24673,7013]
[24710,2349]
[24835,4435]
[24901,2284]
[24923,3205]
[24941,9959]
[24950,2834]
[24951,4704]
[24968,2184]
[25000,2674]
[25039,22860]
[25046,2178]
[25137,6819]
[25219,4134]
[25348,6022]
[25374,6640]
[25378,2051]
[25404,3820]
[25465,2562]
[25517,12027]
[25521,2624]
[25574,3361]
[25656,9424]
[25676,2423]
[25711,3363]
[25734,2591]
[25821,3174]
[25840,2450]
[25875,8673]
[25895,3252]
[25909,2298]
[25947,2775]
[25975,2434]
[25976,5730]
[26042,2695]
[26044,2516]
[26047,5229]
[26060,2148]
[26087,3147]
[26196,2847]
[26216,6033]
[26231,6078]
[26364,6098]
[26396,8228]
[26410,2922]
[26441,2122]
[26492,2527]
[26574,2310]
[26648,2231]
[26758,2076]
[26933,4185]
[26946,4760]
[26957,2751]
[26992,2749]
[27042,2900]
[27059,4614]
[27136,3900]
[27158,2381]
[27383,4349]
[27640,14303]
[27655,8899]
[27668,3161]
[27702,4119]
[27707,5205]
[27752,3029]
[27776,2270]
[27789,4290]
[27808,3873]
[27819,3577]
[27827,2477]
[27837,2507]
[27863,3770]
[27929,5231]
[27975,6450]
[28055,2696]
[28124,2540]
[28194,2225]
[28206,3628]
[28233,6897]
[28269,2481]
[28317,2257]
[28395,2190]
[28426,2463]
[28444,3305]
[28452,2395]
[28463,2103]
[28482,2164]
[28538,2907]
[28545,3140]
[28560,2294]
[28561,5033]
[28661,2806]
[28704,2883]
[28811,2459]
[28823,3939]
[28837,2682]
[28880,2056]
[29046,3207]
[29057,7661]
[29104,2553]
[29105,2702]
[29112,2869]
[29137,2931]
[29144,2278]
[29189,3072]
[29231,2209]
[29247,2154]
[29257,6903]
[29428,2670]
[29432,6041]
[29441,8924]
[29450,13001]
[29462,2082]
[29513,2226]
[29528,3865]
[29734,5219]
[29759,2315]
[29819,2493]
[29835,45419]
[29863,15506]
[29872,30390]
[29898,2272]
[29922,9018]
[29990,21732]
[30003,2064]
[30043,3600]
[30080,5556]
[30150,11245]
[30174,2076]
[30233,3111]
[30288,5349]
[30316,2894]
[30410,3001]
[30435,12365]
[30542,2629]
[30548,3465]
[30598,2229]
[30627,34875]
[30685,7775]
[30689,2550]
[30697,5778]
[30942,198447]
[30980,3232]
[31013,4440]
[31107,11952]
[31132,3021]
[31133,3082]
[31141,6581]
[31162,4779]
[31171,3452]
[31178,2652]
[31186,2064]
[31366,2689]
[31454,6107]
[31480,2886]
[31502,2758]
[31626,2516]
[31766,9008]
[31827,4017]
[31863,2069]
[31881,25842]
[31923,4490]
[31986,3499]
[32018,5937]
[32022,3181]
[32161,3787]
[32164,2052]
[32217,3983]
[32249,2615]
[32277,4060]
[32358,2916]
[32369,18829]
[32459,6150]
[32512,3492]
[32603,2562]
[32669,2017]
[32684,2626]
[32705,5087]
[32721,2303]
[32774,2524]
[32802,4110]
[32816,2027]
[32820,2145]
[33001,2778]
[33081,3729]
[33107,2312]
[33185,6571]
[33241,2093]
[33335,2408]
[33345,3571]
[33366,2078]
[33487,5280]
[33670,2473]
[33746,2310]
[33829,4410]
[33846,2792]
[33857,8474]
[33860,2969]
[33867,12174]
[33875,2001]
[33890,4150]
[33912,5485]
[34023,2210]
[34027,5224]
[34132,2069]
[34188,2918]
[34260,4749]
[34310,3110]
[34323,4325]
[34478,3304]
[34479,3338]
[34500,10207]
[34544,6976]
[34563,2218]
[34661,16137]
[34687,9569]
[34708,3192]
[34830,7288]
[34847,2443]
[34887,4244]
[34890,2498]
[34932,4177]
[35007,3910]
[35035,2181]
[35043,2086]
[35113,3108]
[35135,2260]
[35379,3903]
[35404,2698]
[35421,2386]
[35467,2329]
[35471,4348]
[35554,2862]
[35578,30937]
